i3en.24xlarge, SUSE Linux
r5dn.2xlarge, Linux/UNIX
r5.2xlarge, Linux/UNIX
c1.xlarge, SUSE Linux
r5.4xlarge, Red Hat Enterprise Linux
g4dn.8xlarge, SUSE Linux
