m5.large,Red Hat Enterprise Linux,4
m5.2xlarge,Windows,3
c5n.2xlarge,Windows,4
c5n.4xlarge,Linux/UNIX,4
m5.4xlarge,Linux/UNIX,3
c5n.4xlarge,Red Hat Enterprise Linux,3
m5.2xlarge,SUSE Linux,3
c5n.2xlarge,Red Hat Enterprise Linux,3
t3a.micro,Windows,2
m5.4xlarge,SUSE Linux,3
m5.4xlarge,Red Hat Enterprise Linux,5
r5n.large,Windows,2
t3a.micro,SUSE Linux,2
r5n.large,Linux/UNIX,2
r5n.large,Red Hat Enterprise Linux,2
t2.large,SUSE Linux,3
d2.2xlarge,Windows,3
t3a.large,Windows,2
m4.xlarge,SUSE Linux,3
d2.2xlarge,SUSE Linux,3
t2.large,Windows,3
d2.4xlarge,Linux/UNIX,2
d2.2xlarge,Red Hat Enterprise Linux,3
t2.large,Red Hat Enterprise Linux,4
m4.xlarge,Red Hat Enterprise Linux,4
d2.4xlarge,SUSE Linux,2
d2.4xlarge,Windows,2
m4.xlarge,Linux/UNIX,3
d2.4xlarge,Red Hat Enterprise Linux,3
m4.xlarge,Windows,2
m5.12xlarge,Windows,3
c5n.metal,Windows,1
t2.2xlarge,Windows,2
r5.16xlarge,Linux/UNIX,1
t3a.medium,Red Hat Enterprise Linux,2
m5.12xlarge,SUSE Linux,4
c5n.xlarge,Linux/UNIX,6
r5a.12xlarge,Linux/UNIX,2
c5n.metal,Linux/UNIX,1
m5.16xlarge,Red Hat Enterprise Linux,1
m5.16xlarge,Linux/UNIX,1
c5n.metal,Red Hat Enterprise Linux,1
c5n.xlarge,Windows,4
d2.2xlarge,Linux/UNIX,3
t3a.medium,Linux/UNIX,2
t2.large,Linux/UNIX,3
m5.12xlarge,Red Hat Enterprise Linux,4
c5n.xlarge,Red Hat Enterprise Linux,4
m5.12xlarge,Linux/UNIX,4
t3.large,SUSE Linux,2
t3.micro,Red Hat Enterprise Linux,4
i3.4xlarge,SUSE Linux,4
i3.4xlarge,Windows,3
r5.metal,Red Hat Enterprise Linux,3
r4.large,Red Hat Enterprise Linux,4
i3.8xlarge,Linux/UNIX,3
i3en.large,Red Hat Enterprise Linux,3
r5.metal,Windows,4
t3.large,Red Hat Enterprise Linux,4
i3en.metal,Linux/UNIX,1
t3.micro,SUSE Linux,2
r4.large,Linux/UNIX,3
i3.4xlarge,Linux/UNIX,4
i3.4xlarge,Red Hat Enterprise Linux,4
i3en.metal,Red Hat Enterprise Linux,1
i3en.large,Windows,2
i3.8xlarge,SUSE Linux,3
i3en.large,Linux/UNIX,2
t3.micro,Linux/UNIX,2
i3en.6xlarge,Windows,2
i3.8xlarge,Windows,3
i3.8xlarge,Red Hat Enterprise Linux,5
i3.16xlarge,SUSE Linux,3
i3en.xlarge,Red Hat Enterprise Linux,3
t3.nano,Linux/UNIX,2
i3.16xlarge,Windows,3
r4.xlarge,Red Hat Enterprise Linux,4
t3.2xlarge,Windows,3
i3.2xlarge,Linux/UNIX,3
i3en.xlarge,Linux/UNIX,2
r5.metal,Linux/UNIX,4
i3.16xlarge,Red Hat Enterprise Linux,4
t3.nano,Red Hat Enterprise Linux,4
i3.16xlarge,Linux/UNIX,3
r5.xlarge,Red Hat Enterprise Linux,5
i3en.metal,SUSE Linux,1
t3.large,Linux/UNIX,2
i3.2xlarge,Windows,2
r5.xlarge,Linux/UNIX,2
i3.2xlarge,SUSE Linux,3
t3.micro,Windows,2
i3en.metal,Windows,1
i3.2xlarge,Red Hat Enterprise Linux,4
i3en.12xlarge,Linux/UNIX,2
i3en.3xlarge,Linux/UNIX,2
t3.medium,Linux/UNIX,3
t3.medium,Red Hat Enterprise Linux,4
i3.xlarge,Windows,2
i3en.3xlarge,Red Hat Enterprise Linux,3
i3en.2xlarge,Windows,2
i3en.12xlarge,Red Hat Enterprise Linux,3
r4.large,Windows,3
r4.large,SUSE Linux,3
i3.xlarge,SUSE Linux,3
t3.medium,SUSE Linux,3
i3.xlarge,Red Hat Enterprise Linux,4
t3.large,Windows,2
i3en.3xlarge,Windows,2
r4.xlarge,Linux/UNIX,2
i3en.24xlarge,Linux/UNIX,2
i3en.24xlarge,Windows,2
i3en.24xlarge,Red Hat Enterprise Linux,3
i3en.24xlarge,SUSE Linux,2
i3en.2xlarge,Red Hat Enterprise Linux,3
i3en.2xlarge,Linux/UNIX,2
i3en.12xlarge,Windows,2
r5.metal,SUSE Linux,4
