p3.8xlarge, Red Hat Enterprise Linux, 51105.2882, 326, 29129.626399999892, 326, 21975.66180000011, 19
p3.8xlarge, Red Hat Enterprise Linux, 51105.2882, 326, 29129.626399999892, 326, 21975.66180000011, 19
p3.8xlarge, Red Hat Enterprise Linux, 51105.2882, 326, 29129.626399999892, 326, 21975.66180000011, 19
m4.4xlarge, Windows, 8430.672000000002, 396, 8369.356199999967, 396, 61.31580000003487, 10
f1.2xlarge, SUSE Linux, 6693.848500000002, 396, 5635.535, 396, 1058.313500000002, 9
t3a.large, Red Hat Enterprise Linux, 686.3559000000001, 325, 598.706800000004, 325, 87.64909999999611, 17
f1.4xlarge, Linux/UNIX, 12101.360299999993, 396, 9356.199700000065, 396, 2745.1605999999283, 8
m4.large, Linux/UNIX, 184.00010000000003, 396, 182.3414000000003, 396, 1.658699999999726, 21
r5.xlarge, Windows, 2144.6631999999995, 396, 2119.304099999987, 396, 25.359100000012404, 14
t2.medium, SUSE Linux, 1083.8790000000008, 396, 1067.9719000000068, 396, 15.907099999993989, 16
f1.2xlarge, Red Hat Enterprise Linux, 5893.9385, 324, 4816.049999999999, 324, 1077.888500000001, 13
g2.2xlarge, Linux/UNIX, 1853.085, 396, 1845.2616000000064, 396, 7.823399999993626, 8
t3a.large, Linux/UNIX, 200.9366, 372, 167.51459999999955, 372, 33.42200000000045, 14
f1.4xlarge, SUSE Linux, 13052.445800000001, 396, 10300.69969999996, 396, 2751.746100000042, 8
f1.4xlarge, Red Hat Enterprise Linux, 19991.304500000013, 324, 8592.559700000016, 324, 11398.744799999997, 10
f1.2xlarge, Linux/UNIX, 5743.548499999998, 396, 4689.635000000033, 396, 1053.913499999965, 9
t2.medium, Red Hat Enterprise Linux, 647.7010000000002, 329, 567.7281999999971, 329, 79.97280000000319, 20
p3.8xlarge, Red Hat Enterprise Linux, 51105.2882, 326, 29129.626399999892, 326, 21975.66180000011, 19
m4.4xlarge, Windows, 8430.672000000002, 396, 8369.356199999967, 396, 61.31580000003487, 10
